ID,Name,Name_EN,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
ALLSKY_SRF_ALB,Albedo de superficie con cielo total,All Sky Surface Albedo,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The all sky rate of reflectivity of the earth's surface; the ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth.,"Surface Reflectance,Broadband Albedo,Shortwave Albedo","Surface Reflectance,Broadband Albedo,Shortwave Albedo,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SRF_ALB_HR,Albedo de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Albedo (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
AOD_55,Profundidad óptica de aerosoles 55,Aerosol Optical Depth 55,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The optical thickness at 0.55 um measured vertically; the component of the atmosphere to quantify the removal of radiant energy from an incident beam.,,,
AOD_55_ADJ,Profundidad óptica de aerosoles 55 ajustada,Adjusted Aerosol Optical Depth 55,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The adjusted optical thickness at 0.55 um measured vertically; the component of the atmosphere to quantify the removal of radiant energy from an incident beam.,"Aerosol Optical Depth (AOD) at 550 nm,Aerosol Optical Thickness (AOT)","Aerosol Optical Depth (AOD) at 550 nm,Aerosol Optical Thickness (AOT)",
AOD_84,Profundidad óptica de aerosoles 84,Aerosol Optical Depth 84,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The optical thickness at 0.84 um measured vertically; the component of the atmosphere to quantify the removal of radiant energy from an incident beam.,,,
CDD0,Grados día de enfriamiento por encima de 0 C,Cooling Degree Days Above 0 C,"official,nrt,radiation","api,dav,aws","daily,monthly,annual,climatology",The daily accumulation of degrees above a 0-degree-Celsius threshold when the daily mean temperature is above the threshold.,"CDD Base 0 C,Cooling Degree Days Base 0,Cooling Demand Index 0 C","CDD Base 0 C,Cooling Degree Days Base 0,Cooling Demand Index 0 C,DOE/ASHRAE Climate Building",
CDD18_3,Grados día de enfriamiento por encima de 18.3 C,Cooling Degree Days Above 18.3 C,"official,nrt,radiation","api,dav,gis,aws","daily,monthly,annual,climatology",The daily accumulation of degrees above an 18.3-degree-Celsius threshold when the daily mean temperature is above the threshold.,"CDD Base 18.3 C,Cooling Degree Days Base 65 F,ASHRAE Cooling Degree Days,Standard Cooling Degree Days","CDD Base 18.3 C,Cooling Degree Days Base 65 F,ASHRAE Cooling Degree Days,Standard Cooling Degree Days,DOE/ASHRAE Climate Building",
CLOUD_AMT,Cantidad de nubes,Cloud Amount,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The average percent of cloud amount during the temporal period.,"Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness","Cloud Cover,Cloud Fraction,Total Cloud Cover,Sky Cover,Cloudiness,Solar Fluxes and Related,Diurnal Cloud Amounts",
CLOUD_AMT_DAY,Cantidad de nubes durante el día,Cloud Amount at Daytime,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The average percent of cloud amount during daylight.,"Daytime Cloud Cover,Daytime Cloud Fraction,Daytime Sky Cover","Daytime Cloud Cover,Daytime Cloud Fraction,Daytime Sky Cover",
CLOUD_AMT_HR,Cantidad de nubes (conjunto de parámetros basado en horas),Cloud Amount (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,"Solar Fluxes and Related,Diurnal Cloud Amounts",
CLOUD_AMT_NIGHT,Cantidad de nubes durante la noche,Cloud Amount at Nighttime,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The average percent of cloud amount during nighttime.,"Nighttime Cloud Cover,Nighttime Cloud Fraction,Nighttime Sky Cover","Nighttime Cloud Cover,Nighttime Cloud Fraction,Nighttime Sky Cover",
CLOUD_BT,Temperatura de la base de la nube,Cloud Bottom Temperature,"reviewing,radiation",aws,,The temperature at the base of a cloud layer indicating the thermal conditions where the cloud begins to form.,"Cloud Base Brightness Temperature,Cloud Bottom Temperature","Cloud Base Brightness Temperature,Cloud Bottom Temperature",
CLOUD_BT_MAX,Maximum Temperatura de la base de la nube,Maximum Cloud Bottom Temperature,"reviewing,radiation",aws,,The highest temperature at the base of a cloud within a given time period.,,,
CLOUD_BT_MIN,Minimum Temperatura de la base de la nube,Minimum Cloud Bottom Temperature,"reviewing,radiation",aws,,The lowest temperature at the base of a cloud within a given time period.,,,
CLOUD_OD,Profundidad óptica visible de la nube,Cloud Optical Visible Depth,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The vertical optical thickness between the top and bottom of a cloud.,"Cloud Optical Depth (COD),Cloud Optical Thickness (COT),Cloud Opacity","Cloud Optical Depth (COD),Cloud Optical Thickness (COT),Cloud Opacity",
CLOUD_OD_HR,Profundidad óptica visible de la nube (conjunto de parámetros basado en horas),Cloud Optical Visible Depth (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,Solar Fluxes and Related,
CLOUD_PHASE,Fase de la nube,Cloud Phase,"reviewing,radiation",aws,,The physical state of cloud particles based on temperature and atmospheric conditions.,"Cloud Thermodynamic Phase,Cloud Phase State,Hydrometeor Phase","Cloud Thermodynamic Phase,Cloud Phase State,Hydrometeor Phase",
CLOUD_TT,Temperatura del tope de la nube,Cloud Top Temperature,"reviewing,radiation",aws,,The temperature at the highest point of a cloud often used to estimate cloud height and potential storm intensity.,Cloud Top Temperature (CTT),Cloud Top Temperature (CTT),
CLOUD_TT_MAX,Maximum Temperatura del tope de la nube,Maximum Cloud Top Temperature,"reviewing,radiation",aws,,The highest temperature at the top of a cloud within a given time period.,,,
CLOUD_TT_MIN,Minimum Temperatura del tope de la nube,Minimum Cloud Top Temperature,"reviewing,radiation",aws,,The lowest temperature at the top of a cloud within a given time period.,,,
CLRSKY_DAYS,Días de cielo despejado,Clear Sky Days,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The number of Clear Sky Days if the daytime cloud amount is less than 10 percent.,"Cloud-Free Days,Sunny Days,Cloudless Days,Clear Days","Cloud-Free Days,Sunny Days,Cloudless Days,Clear Days",
CLRSKY_KT,Índice de claridad de la insolación con cielo despejado,Clear Sky Insolation Clearness Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",A fraction representing clearness of the atmosphere; the clear sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,"Clear Sky Clearness Index,Clear Sky Atmospheric Transmittance","Clear Sky Clearness Index,Clear Sky Atmospheric Transmittance,Parameters for Tilted PV Panels,Solar Fluxes and Related",
CLRSKY_KT_MAX,Índice de claridad de la insolación con cielo despejado máximo,Clear Sky Insolation Clearness Index Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum clearness of the atmosphere; the clear sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
CLRSKY_KT_MIN,Índice de claridad de la insolación con cielo despejado mínimo,Clear Sky Insolation Clearness Index Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum clearness of the atmosphere; the clear sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
CLRSKY_KT_SD,Índice de claridad de la insolación con cielo despejado desviación estándar,Clear Sky Insolation Clearness Index Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of the clearness atmosphere; the clear sky insolation that is transmitted through the atmosphere to strike the surface of the earth divided by the average of top of the atmosphere total solar irradiance incident.,,,
CLRSKY_NKT,Índice de claridad de la insolación normalizado con cielo despejado,Clear Sky Normalized Insolation Clearness Index,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The average zenith angle-independent expression of the clear sky insolation clearness index.,"Clear Sky Normalized Clearness Index,Clear Sky Zenith-Independent Transmittance","Clear Sky Normalized Clearness Index,Clear Sky Zenith-Independent Transmittance",
CLRSKY_SFC_LW_DWN,Irradiancia descendente de onda larga en superficie con cielo despejado,Clear Sky Surface Longwave Downward Irradiance,"official,nrt,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,"Clear Sky Downwelling Longwave Radiation,Clear Sky Atmospheric Back Radiation,Cloudless Sky Thermal Downwelling","Clear Sky Downwelling Longwave Radiation,Clear Sky Atmospheric Back Radiation,Cloudless Sky Thermal Downwelling",
CLRSKY_SFC_LW_DWN_HR,Irradiancia descendente de onda larga en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Longwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_LW_DWN_MAX,Irradiancia descendente de onda larga en superficie con cielo despejado máximo,Clear Sky Surface Longwave Downward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,,,
CLRSKY_SFC_LW_DWN_MIN,Irradiancia descendente de onda larga en superficie con cielo despejado mínimo,Clear Sky Surface Longwave Downward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,,,
CLRSKY_SFC_LW_DWN_SD,Irradiancia descendente de onda larga en superficie con cielo despejado desviación estándar,Clear Sky Surface Longwave Downward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,,,
CLRSKY_SFC_LW_UP,Irradiancia ascendente de onda larga en superficie con cielo despejado,Clear Sky Surface Longwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward thermal infrared irradiance under clear sky conditions.,"Clear Sky Upwelling Longwave Radiation,Clear Sky Surface Emitted Thermal Radiation","Clear Sky Upwelling Longwave Radiation,Clear Sky Surface Emitted Thermal Radiation",
CLRSKY_SFC_LW_UP_HR,Irradiancia ascendente de onda larga en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Longwave Upward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_LW_UP_MAX,Irradiancia ascendente de onda larga en superficie con cielo despejado máximo,Clear Sky Surface Longwave Upward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum upward thermal infrared irradiance under clear sky conditions.,,,
CLRSKY_SFC_LW_UP_MIN,Irradiancia ascendente de onda larga en superficie con cielo despejado mínimo,Clear Sky Surface Longwave Upward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum upward thermal infrared irradiance under clear sky conditions.,,,
CLRSKY_SFC_LW_UP_SD,Irradiancia ascendente de onda larga en superficie con cielo despejado desviación estándar,Clear Sky Surface Longwave Upward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of upward thermal infrared irradiance under clear sky conditions,,,
CLRSKY_SFC_PAR_DIFF,PAR difusa de superficie con cielo despejado,Clear Sky Surface Diffuse PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Diffuse PAR,Clear Sky Scattered Photosynthetically Active Radiation","Clear Sky Diffuse PAR,Clear Sky Scattered Photosynthetically Active Radiation,Solar",
CLRSKY_SFC_PAR_DIFF_HR,PAR difusa de superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Diffuse PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_PAR_DIFF_MAX,PAR difusa de superficie con cielo despejado máximo,Clear Sky Surface Diffuse PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_DIFF_MIN,PAR difusa de superficie con cielo despejado mínimo,Clear Sky Surface Diffuse PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_DIFF_SD,PAR difusa de superficie con cielo despejado desviación estándar,Clear Sky Surface Diffuse PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,,
CLRSKY_SFC_PAR_DIRH,PAR directa horizontal de superficie con cielo despejado,Clear Sky Surface Direct Horizontal PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Direct Beam PAR (Horizontal),Clear Sky Direct Photosynthetically Active Radiation","Clear Sky Direct Beam PAR (Horizontal),Clear Sky Direct Photosynthetically Active Radiation,Solar",
CLRSKY_SFC_PAR_DIRH_HR,PAR directa horizontal de superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Direct Horizontal PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_PAR_DIRH_MAX,PAR directa horizontal de superficie con cielo despejado máximo,Clear Sky Surface Direct Horizontal PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_DIRH_MIN,PAR directa horizontal de superficie con cielo despejado mínimo,Clear Sky Surface Direct Horizontal PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_DIRH_SD,PAR directa horizontal de superficie con cielo despejado desviación estándar,Clear Sky Surface Direct Horizontal PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,,
CLRSKY_SFC_PAR_TOT,PAR total de superficie con cielo despejado,Clear Sky Surface Total PAR,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Total PAR,Clear Sky Photosynthetically Active Radiation,Clear Sky Global PAR","Clear Sky Total PAR,Clear Sky Photosynthetically Active Radiation,Clear Sky Global PAR,Solar,Solar Fluxes and Related",
CLRSKY_SFC_PAR_TOT_HR,PAR total de superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Total PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_PAR_TOT_MAX,PAR total de superficie con cielo despejado máximo,Clear Sky Surface Total PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_TOT_MIN,PAR total de superficie con cielo despejado mínimo,Clear Sky Surface Total PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_PAR_TOT_SD,PAR total de superficie con cielo despejado desviación estándar,Clear Sky Surface Total PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under clear sky conditions.,,,
CLRSKY_SFC_SW_DIFF,Irradiancia difusa descendente de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Downward Diffuse Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Clear Sky Diffuse Solar Radiation,Rayleigh Scattered Radiation","Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Clear Sky Diffuse Solar Radiation,Rayleigh Scattered Radiation,Solar",
CLRSKY_SFC_SW_DIFF_HR,Irradiancia difusa descendente de onda corta en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Shortwave Downward Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_SW_DIFF_MAX,Irradiancia difusa descendente de onda corta en superficie con cielo despejado máximo,Clear Sky Surface Shortwave Downward Diffuse Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DIFF_MIN,Irradiancia difusa descendente de onda corta en superficie con cielo despejado mínimo,Clear Sky Surface Shortwave Downward Diffuse Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DIFF_SD,Irradiancia difusa descendente de onda corta en superficie con cielo despejado desviación estándar,Clear Sky Surface Shortwave Downward Diffuse Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,,
CLRSKY_SFC_SW_DIRH,Irradiancia directa horizontal de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Direct Horizontal Irradiance,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Direct Horizontal Irradiance,Clear Sky Beam Horizontal Irradiance","Clear Sky Direct Horizontal Irradiance,Clear Sky Beam Horizontal Irradiance,Solar",
CLRSKY_SFC_SW_DIRH_HR,Irradiancia directa horizontal de onda corta en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Shortwave Direct Horizontal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_SW_DIRH_MAX,Irradiancia directa horizontal de onda corta en superficie con cielo despejado máximo,Clear Sky Surface Shortwave Direct Horizontal Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DIRH_MIN,Irradiancia directa horizontal de onda corta en superficie con cielo despejado mínimo,Clear Sky Surface Shortwave Direct Horizontal Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DIRH_SD,Irradiancia directa horizontal de onda corta en superficie con cielo despejado desviación estándar,Clear Sky Surface Shortwave Direct Horizontal Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,,,
CLRSKY_SFC_SW_DNI,Irradiancia directa normal descendente de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under clear sky conditions.,"Direct Normal Irradiance (DNI),Beam Radiation,Clear Sky Beam Normal Irradiance,Clear Sky Direct Beam Irradiance,Clear Sky Direct Solar Radiation","Direct Normal Irradiance (DNI),Beam Radiation,Clear Sky Beam Normal Irradiance,Clear Sky Direct Beam Irradiance,Clear Sky Direct Solar Radiation,Solar",
CLRSKY_SFC_SW_DNI_HR,Irradiancia directa normal descendente de onda corta en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Shortwave Downward Direct Normal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_SW_DNI_MAX,Irradiancia directa normal descendente de onda corta en superficie con cielo despejado máximo,Clear Sky Surface Shortwave Downward Direct Normal Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DNI_MIN,Irradiancia directa normal descendente de onda corta en superficie con cielo despejado mínimo,Clear Sky Surface Shortwave Downward Direct Normal Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under clear sky conditions.,,Solar,
CLRSKY_SFC_SW_DNI_SD,Irradiancia directa normal descendente de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under clear sky conditions.,,,
CLRSKY_SFC_SW_DWN,Irradiancia descendente de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology","The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Clear Sky Global Solar Radiation,Potential Solar Radiation,Clear Sky Total Horizontal Solar Radiation","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Clear Sky Global Solar Radiation,Potential Solar Radiation,Clear Sky Total Horizontal Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related,Parameters for Solar Cooking",
CLRSKY_SFC_SW_DWN_HR,Irradiancia descendente de onda corta en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Shortwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_SW_DWN_MAX,Irradiancia descendente de onda corta en superficie con cielo despejado máximo,Clear Sky Surface Shortwave Downward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions.,"Insolation,Incoming Solar Radiation","Insolation,Incoming Solar Radiation,Solar",
CLRSKY_SFC_SW_DWN_MIN,Irradiancia descendente de onda corta en superficie con cielo despejado mínimo,Clear Sky Surface Shortwave Downward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions.,"Insolation,Incoming Solar Radiation","Insolation,Incoming Solar Radiation,Solar",
CLRSKY_SFC_SW_DWN_SD,Irradiancia descendente de onda corta en superficie con cielo despejado desviación estándar,Clear Sky Surface Shortwave Downward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions.,"Insolation,Incoming Solar Radiation","Insolation,Incoming Solar Radiation",
CLRSKY_SFC_SW_UP,Irradiancia ascendente de onda corta en superficie con cielo despejado,Clear Sky Surface Shortwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward shortwave irradiance under clearsky conditions.,"Clear Sky Reflected Solar Radiation,Clear Sky Upwelling Shortwave Radiation","Clear Sky Reflected Solar Radiation,Clear Sky Upwelling Shortwave Radiation,Solar",
CLRSKY_SFC_SW_UP_HR,Irradiancia ascendente de onda corta en superficie con cielo despejado (conjunto de parámetros basado en horas),Clear Sky Surface Shortwave Upward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
CLRSKY_SFC_SW_UP_MAX,Irradiancia ascendente de onda corta en superficie con cielo despejado máximo,Clear Sky Surface Shortwave Upward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum upward shortwave irradiance under clearsky conditions.,,Solar,
CLRSKY_SFC_SW_UP_MIN,Irradiancia ascendente de onda corta en superficie con cielo despejado mínimo,Clear Sky Surface Shortwave Upward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum upward shortwave irradiance under clearsky conditions.,,Solar,
CLRSKY_SFC_SW_UP_SD,Irradiancia ascendente de onda corta en superficie con cielo despejado desviación estándar,Clear Sky Surface Shortwave Upward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of upward shortwave irradiance under clearsky conditions.,,,
CLRSKY_SRF_ALB,Albedo de superficie con cielo despejado,Clear Sky Surface Albedo,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The clear sky rate of reflectivity of the earth's surface; the ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth.,"Clear Sky Surface Reflectance,Clear Sky Broadband Albedo,Clear Sky Solar Reflectivity","Clear Sky Surface Reflectance,Clear Sky Broadband Albedo,Clear Sky Solar Reflectivity",
DAY_HOURS,Horas diurnas,Day Hours,"official,radiation","api,aws",climatology,The Climatological average number of hours when solar irradiance is present.,"Daylength,Duration of Daylight,Photoperiod,Hours of Possible Sunshine","Daylength,Duration of Daylight,Photoperiod,Hours of Possible Sunshine",
DISPH,Altura de desplazamiento del plano cero,Zero Plane Displacement Height,"official,nrt,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The height at which the mean velocity is zero due to large obstacles such as buildings/canopy.,"Zero-Plane Displacement Height,Displacement Height for Wind Profile,Canopy Displacement Height","Zero-Plane Displacement Height,Displacement Height for Wind Profile,Canopy Displacement Height",
ENTHALPY,Entalpía específica del aire húmedo,Moist Air Specific Enthalpy,"reviewing,meteorology","api,aws",climatology,Moist air specific enthalpy is the total enthalpy (measure of energy in a thermodynamic system) of the dry air and the water vapor mixture per unit mass of dry air.,"Moist Air Enthalpy,Specific Enthalpy of Moist Air,Air Enthalpy,Psychrometric Enthalpy","Moist Air Enthalpy,Specific Enthalpy of Moist Air,Air Enthalpy,Psychrometric Enthalpy",
